feedback_id,product_id,customer_id,feedback_date,quality_rating,performance_rating,value_rating,overall_satisfaction,would_reorder,comments
F001,P001,C001,2024-02-10,4.5,4.0,4.5,4.3,Yes,Excellent citrus profile
F002,P002,C002,2024-02-15,5.0,5.0,4.5,4.8,Yes,Best vanilla we've used
F003,P003,C003,2024-02-18,4.0,4.5,4.0,4.2,Yes,Fresh aquatic notes
F004,P004,C004,2024-02-20,4.5,4.5,5.0,4.7,Yes,Great strawberry flavor
F005,P005,C005,2024-02-25,5.0,4.5,4.0,4.5,Yes,Rich amber complexity
F006,P006,C006,2024-03-01,4.0,4.0,4.5,4.2,Yes,Good chocolate depth
F007,P007,C007,2024-03-05,4.5,5.0,4.5,4.7,Yes,Authentic green tea
F008,P008,C008,2024-03-08,5.0,4.5,4.0,4.5,Yes,Beautiful rose fragrance
F009,P009,C009,2024-03-12,4.0,4.0,4.0,4.0,Yes,Nice mango profile
F010,P010,C010,2024-03-15,4.5,4.5,4.5,4.5,Yes,Luxurious sandalwood
F011,P011,C011,2024-03-18,3.5,4.0,4.0,3.8,Yes,Decent coffee flavor
F012,P012,C012,2024-03-22,5.0,5.0,4.5,4.8,Yes,Outstanding lavender
F013,P013,C013,2024-03-25,4.5,4.5,5.0,4.7,Yes,Refreshing mint
F014,P014,C014,2024-03-28,4.0,4.0,4.0,4.0,Yes,Pleasant peach notes
F015,P015,C015,2024-04-02,2.5,3.0,3.5,3.0,No,Discontinued - final order
F016,P016,C016,2024-04-05,4.5,4.0,4.5,4.3,Yes,Rich caramel flavor
F017,P017,C017,2024-04-10,5.0,4.5,4.0,4.5,Yes,Elegant jasmine
F018,P018,C018,2024-04-15,4.0,4.5,4.5,4.3,Yes,Bright lemon zest
F019,P019,C019,2024-04-18,4.5,4.0,4.0,4.2,Yes,Sophisticated musk
F020,P020,C020,2024-04-22,4.0,4.0,4.5,4.2,Yes,Tropical coconut
F021,P001,C021,2024-04-25,4.5,4.5,4.5,4.5,Yes,Consistent quality
F022,P002,C022,2024-05-01,5.0,5.0,4.5,4.8,Yes,Repeatedly excellent
F023,P003,C023,2024-05-05,4.0,4.0,4.0,4.0,Yes,Reliable fragrance
F024,P004,C024,2024-05-08,,4.5,5.0,4.7,Yes,Customers love it
F025,P005,C025,2024-05-12,5.0,4.5,4.0,4.5,Yes,Premium amber
F026,P006,C026,2024-05-15,4.0,4.0,4.5,4.2,Yes,Good value chocolate
F027,P007,C027,2024-05-18,4.5,5.0,4.5,4.7,Yes,Natural tea flavor
F028,P008,C028,2024-05-22,5.0,4.5,4.0,4.5,Yes,Exceptional rose
F029,P009,C029,2024-05-25,4.0,4.0,4.0,4.0,Yes,Solid mango
F030,P010,C030,2024-05-28,4.5,4.5,4.5,4.5,Yes,High-end sandalwood
F031,P011,C031,2024-06-02,3.5,4.0,4.0,3.8,Maybe,Coffee could be stronger
F032,P012,C017,2024-06-05,5.0,5.0,4.5,4.8,Yes,Perfect lavender
F033,P013,C018,2024-06-08,4.5,4.5,5.0,4.7,Yes,Cool minty finish
F034,P999,C019,2024-06-12,3.0,3.5,3.0,3.2,No,Not what we expected
F035,P015,C020,2024-06-15,2.0,2.5,3.0,2.5,No,Being discontinued
F036,P031,C021,2024-06-18,4.0,4.5,4.0,4.2,yes,Good cedar quality
F037,P032,C022,2024-06-22,4.5,4.0,4.5,4.3,Yes,Tasty raspberry
F038,P033,C023,2024-06-25,4.0,4.5,4.0,4.2,Yes,Warm spice blend
F039,P034,C024,2024-06-28,4.5,4.5,5.0,4.7,YES,Creamy butter notes
F040,P035,C025,2024-07-02,5.0,4.5,4.0,4.5,Yes,Marine freshness
F041,P036,C026,2024-07-05,4.0,4.0,4.5,4.2,Yes,Juicy watermelon
F042,P037,C027,2024-07-08,4.5,4.5,4.0,4.3,Yes,Sacred frankincense
F043,P038,C028,2024-07-12,4.0,4.5,4.5,4.3,Yes,Tropical pineapple
F044,P039,C029,2024-07-15,5.0,4.5,4.0,4.5,Yes,Pure lily scent
F045,P040,C030,2024-07-18,4.5,4.0,4.5,4.3,Yes,Smooth banana
F046,P001,C031,2024-07-22,4.0,4.0,4.5,4.2,Yes,Still good
F047,P002,C032,2024-07-25,5.0,5.0,4.5,4.8,Yes,Never disappoints
F048,P003,C033,2024-07-28,4.0,4.5,4.0,4.2,Yes,Clean ocean scent
F049,P004,C034,2024-08-01,4.5,4.5,5.0,4.7,Yes,Popular with consumers
F050,P005,C035,2024-08-05,5.0,4.5,4.0,4.5,Yes,Luxe amber notes
F051,P006,C036,2024-08-08,4.0,4.0,4.5,4.2,Yes,Reliable chocolate
F052,P012,C002,2024-08-12,6.0,5.0,4.5,5.2,Yes,Beyond excellent!
F053,P013,,2024-08-15,4.5,4.5,5.0,4.7,Yes,Crisp and clean
F054,P014,C004,2024-08-18,4.0,4.0,4.0,4.0,Yes,Peachy keen
F055,P001,C005,2024-08-22,4.5,4.0,4.5,4.3,Yes,Citrus perfection
